sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,absences %,absences_category,average_grade,grade_category,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other
0,1.1286380660769095,1,1,0,1.1412916668364244,1.3489065468669248,0.784963089810801,-0.04900419195193345,0.0,1,0,0,0,1,1,0,0,3.0,2.0,3.0,0.0,0.0,2.0,0.03806584530432036,-1.7863025544577478,-1.2537051731247193,-0.9617876481137472,0.037435345607209375,2,-1.3574238970076729,3.0,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.29498494908828243,1,1,1,-1.60062055123055,-1.410220480815421,-0.6455771205920605,-0.04900419195193345,0.0,0,1,0,0,0,1,1,0,4.0,2.0,2.0,0.0,0.0,2.0,-0.2114413760181158,-1.7863025544577478,-1.520160223543597,-0.9617876481137472,-0.21180736607167217,1,-1.4474825799934739,3.0,False,False,False,False,False,True,False,False,False,False,False,False,False
0,-1.3723212848889719,1,0,1,-1.60062055123055,-1.410220480815421,-0.6455771205920605,-0.04900419195193345,3.0,1,0,1,0,1,1,1,0,3.0,2.0,1.0,1.0,2.0,2.0,0.5370802879491927,-1.181039308377364,-0.720795072286964,-0.08794447335693546,0.5381661987999173,2,-0.6336993000012946,2.0,False,False,False,False,False,True,False,False,False,True,False,True,False
0,-1.3723212848889719,1,1,1,1.1412916668364244,-0.49051147158797254,-0.6455771205920605,1.1454729868764486,0.0,0,1,1,1,1,1,1,1,2.0,1.0,1.0,0.0,0.0,4.0,-0.46094859734055194,1.240013675944171,0.8779352302263017,1.004359495089079,-0.46105007775055384,0,1.0839259429688648,1.0,True,False,False,False,False,False,True,False,True,False,False,True,False
0,-0.5386681679003448,1,1,1,0.22732092748076627,0.42919753763947616,-0.6455771205920605,-0.04900419195193345,0.0,0,1,1,0,1,1,0,0,3.0,2.0,1.0,0.0,1.0,4.0,-0.2114413760181158,-1.483670931417556,-0.18788497144920877,-0.08794447335693546,-0.21180736607167217,1,-0.5436406170154936,2.0,False,True,False,False,False,True,False,False,True,False,False,False,False
1,-0.5386681679003448,1,0,1,1.1412916668364244,0.42919753763947616,-0.6455771205920605,-0.04900419195193345,0.0,0,1,1,1,1,1,1,0,4.0,3.0,1.0,0.0,1.0,4.0,0.5370802879491927,1.240013675944171,1.1443902806451793,1.004359495089079,0.5381661987999173,2,1.1745271481413275,1.0,False,False,True,False,False,True,False,False,False,False,True,True,False
1,-0.5386681679003448,1,0,1,-0.6866498118748918,-0.49051147158797254,-0.6455771205920605,-0.04900419195193345,0.0,0,0,0,0,1,1,1,0,3.0,3.0,3.0,0.0,0.0,2.0,-0.7104558186629881,0.3321188068235953,0.34502512938854646,0.13051632033226745,-0.7102927894294354,0,0.2701426629766856,0.0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0.29498494908828243,1,1,0,1.1412916668364244,1.3489065468669248,0.784963089810801,-0.04900419195193345,0.0,1,1,0,0,1,1,0,0,3.0,0.0,3.0,0.0,0.0,0.0,0.03806584530432036,-1.483670931417556,-1.520160223543597,-0.9617876481137472,0.037435345607209375,2,-1.3574238970076729,3.0,False,True,False,False,False,False,False,True,True,False,False,True,False
1,-1.3723212848889719,1,0,0,0.22732092748076627,-0.49051147158797254,-0.6455771205920605,-0.04900419195193345,0.0,0,1,1,0,1,1,1,0,3.0,1.0,1.0,0.0,0.0,0.0,-0.7104558186629881,1.5426452989843629,1.9437554319018122,1.878202669845891,-0.7102927894294354,0,1.8977092229610442,1.0,False,False,True,False,False,True,False,False,True,False,False,True,False
1,-1.3723212848889719,1,1,1,0.22732092748076627,1.3489065468669248,-0.6455771205920605,-0.04900419195193345,0.0,0,1,1,1,1,1,1,0,4.0,4.0,0.0,0.0,0.0,4.0,-0.7104558186629881,0.937382052903979,1.1443902806451793,1.004359495089079,-0.7102927894294354,0,1.0839259429688648,1.0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,-1.3723212848889719,1,1,1,1.1412916668364244,1.3489065468669248,-0.6455771205920605,-0.04900419195193345,0.0,0,1,1,0,1,1,1,0,2.0,2.0,2.0,0.0,1.0,1.0,-0.7104558186629881,-0.27314443925678844,-0.720795072286964,-0.30640526704613835,-0.7102927894294354,0,-0.4530394118430309,2.0,False,False,False,True,True,False,False,False,False,False,True,True,False
0,-1.3723212848889719,1,1,1,-0.6866498118748918,-1.410220480815421,2.2155033002136624,1.1454729868764486,0.0,0,1,0,1,1,1,1,0,4.0,1.0,1.0,0.0,0.0,3.0,-0.2114413760181158,-0.27314443925678844,0.34502512938854646,0.3489771140214704,-0.21180736607167217,1,0.18008397999088463,0.0,False,False,True,False,False,True,False,False,False,False,True,False,False
1,-1.3723212848889719,1,0,1,1.1412916668364244,1.3489065468669248,-0.6455771205920605,-1.2434813707803156,0.0,0,1,1,1,1,1,1,0,3.0,2.0,2.0,0.0,2.0,4.0,-0.46094859734055194,0.937382052903979,0.8779352302263017,0.7858987013998763,-0.46105007775055384,0,0.9032660548106012,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False
1,-1.3723212848889719,1,1,1,1.1412916668364244,0.42919753763947616,0.784963089810801,-0.04900419195193345,0.0,0,1,1,0,1,1,1,0,4.0,3.0,2.0,0.0,1.0,2.0,-0.46094859734055194,-0.27314443925678844,-0.18788497144920877,0.13051632033226745,-0.46105007775055384,0,-0.09117711333984178,2.0,False,False,False,True,False,True,False,False,False,False,False,True,False
